territory,hiv_therapy_regdispensaries,hiv_regdispensaries_numdetect,hiv_firstdiagnosis_100k,hiv_motherchild_chemoprophylaxis,hiv_regnum_firstdiagnosis,hiv_totalnumrussian_tested,hiv_russian_ibtestedpositive,hiv_russian_ifatestedpositive,hiv_totalnumforeign_tested,hiv_foreign_ibtestedpositive,hiv_foreign_ifatestedpositive,num_alldoctors_inmedorgservices,num_infectiousdoctors_inmedorgservices,per_infectious_inalldoctors,year
Приморский край,77.9,45.0,59.3,81.4,1143.0,,,,,,,9556.0,116.0,1.2,2016
Приморский край,33.6,92.6,45.1,79.5,868.0,,,,,,,9627.0,117.0,1.2,2017
Приморский край,56.4,76.8,59.2,80.6,1130.0,,,,,,,9602.0,112.0,1.2,2018
Приморский край,70.0,72.1,57.3,84.5,1090.0,475842.0,1408.0,5648.0,37020.0,21.0,47.0,9825.0,119.0,1.2,2019
Псковская область,34.9,58.2,15.9,87.5,106.0,101006.0,104.0,135.0,4005.0,4.0,4.0,2354.0,19.0,0.8,2012
Псковская область,39.9,81.4,16.9,90.6,112.0,100090.0,103.0,125.0,3794.0,9.0,9.0,2331.0,18.0,0.8,2013
Псковская область,49.3,85.3,20.9,92.3,136.0,100863.0,121.0,163.0,5891.0,20.0,21.0,2185.0,16.0,0.7,2014
Псковская область,57.3,83.5,20.0,89.3,130.0,103175.0,115.0,122.0,7158.0,15.0,16.0,2206.0,13.0,0.6,2015
Псковская область,72.9,80.3,16.7,90.5,108.0,,,,,,,2234.0,16.0,0.7,2016
Псковская область,64.8,82.1,16.8,96.7,108.0,,,,,,,2210.0,21.0,1.0,2017
Псковская область,78.2,77.0,20.2,84.6,128.0,,,,,,,2138.0,17.0,0.8,2018
Псковская область,88.4,76.8,21.6,78.1,136.0,161361.0,132.0,159.0,6629.0,4.0,7.0,1939.0,16.0,0.8,2019
Республика Адыгея,24.0,88.0,13.3,87.5,59.0,56036.0,63.0,65.0,2397.0,2.0,2.0,1726.0,32.0,1.9,2012
Республика Адыгея,24.7,93.6,17.8,71.4,79.0,60086.0,68.0,75.0,2813.0,0.0,0.0,1728.0,32.0,1.9,2013
Республика Адыгея,25.7,96.5,18.7,90.9,84.0,61402.0,73.0,78.0,4719.0,9.0,9.0,1733.0,34.0,2.0,2014
Республика Адыгея,26.3,96.2,20.7,90.0,93.0,61613.0,98.0,111.0,7075.0,11.0,11.0,1709.0,34.0,2.0,2015
Республика Адыгея,88.5,33.2,26.4,88.2,119.0,,,,,,,1706.0,24.0,1.4,2016
Республика Адыгея,48.0,88.9,17.0,86.7,77.0,,,,,,,1732.0,25.0,1.4,2017
Республика Адыгея,59.7,72.1,21.4,68.4,97.0,,,,,,,1769.0,24.0,1.4,2018
Республика Адыгея,73.8,85.4,25.1,100.0,114.0,120429.0,170.0,217.0,5236.0,3.0,4.0,1807.0,23.0,1.3,2019
Республика Алтай,25.8,63.1,23.5,100.0,49.0,41778.0,47.0,47.0,1308.0,2.0,2.0,902.0,13.0,1.4,2012
Республика Алтай,32.9,62.0,32.3,91.7,68.0,37879.0,63.0,64.0,1222.0,1.0,1.0,972.0,16.0,1.6,2013
Республика Алтай,36.6,58.4,44.5,100.0,95.0,39801.0,90.0,113.0,1229.0,1.0,1.0,1000.0,15.0,1.5,2014
Республика Алтай,36.8,56.1,46.3,100.0,99.0,39030.0,97.0,121.0,2203.0,2.0,3.0,962.0,15.0,1.6,2015
Республика Алтай,59.8,43.1,49.7,81.3,107.0,,,,,,,979.0,15.0,1.5,2016
Республика Алтай,57.4,84.1,55.8,88.9,121.0,,,,,,,1036.0,16.0,1.5,2017
Республика Алтай,73.6,63.4,47.1,100.0,103.0,,,,,,,1002.0,16.0,1.6,2018
Республика Алтай,80.4,67.6,40.7,87.5,89.0,69946.0,110.0,148.0,1622.0,3.0,3.0,986.0,16.0,1.6,2019
Республика Башкортостан,31.3,86.6,61.1,95.9,2485.0,845534.0,2451.0,3894.0,21193.0,34.0,47.0,16903.0,167.0,1.0,2012
Республика Башкортостан,33.6,72.8,60.9,94.5,2475.0,788256.0,2455.0,3753.0,22192.0,20.0,38.0,17043.0,167.0,1.0,2013
Республика Башкортостан,35.7,73.5,69.2,92.9,2818.0,771935.0,2806.0,4442.0,29214.0,58.0,88.0,17383.0,140.0,0.8,2014
Республика Башкортостан,39.5,74.5,71.4,97.3,2907.0,619994.0,2857.0,4509.0,32282.0,50.0,70.0,16382.0,136.0,0.8,2015
Республика Башкортостан,73.9,43.6,69.1,95.4,2813.0,,,,,,,16657.0,139.0,0.8,2016
Республика Башкортостан,46.4,88.9,67.3,94.5,2736.0,,,,,,,17098.0,143.0,0.8,2017
Республика Башкортостан,62.9,82.7,68.6,95.6,2782.0,,,,,,,17358.0,147.0,0.8,2018
Республика Башкортостан,76.5,84.6,53.4,98.0,2164.0,1023891.0,2666.0,4002.0,28037.0,39.0,56.0,17531.0,145.0,0.8,2019
Республика Бурятия,19.9,93.8,50.6,88.8,492.0,166201.0,652.0,2162.0,3141.0,2.0,9.0,4160.0,51.0,1.2,2012
Республика Бурятия,20.5,94.5,55.8,87.2,542.0,169517.0,728.0,2325.0,2449.0,2.0,5.0,4359.0,50.0,1.1,2013
Республика Бурятия,20.4,94.2,56.9,92.6,557.0,182242.0,725.0,2363.0,4099.0,13.0,34.0,4333.0,55.0,1.3,2014
Республика Бурятия,26.1,93.8,59.3,93.7,580.0,194632.0,859.0,2628.0,4757.0,8.0,18.0,4483.0,54.0,1.2,2015
Республика Бурятия,92.9,35.5,62.2,97.0,611.0,,,,,,,4564.0,54.0,1.2,2016
Республика Бурятия,46.8,93.2,64.9,96.6,639.0,,,,,,,4564.0,50.0,1.1,2017
Республика Бурятия,65.1,94.7,64.5,88.0,635.0,,,,,,,4488.0,53.0,1.2,2018
Республика Бурятия,70.3,95.1,61.5,98.3,605.0,272931.0,806.0,2770.0,6423.0,7.0,18.0,4449.0,53.0,1.2,2019
Республика Дагестан,22.2,71.5,7.1,92.0,208.0,396370.0,201.0,864.0,1981.0,1.0,5.0,11547.0,168.0,1.5,2012
Республика Дагестан,28.9,64.3,6.2,85.0,182.0,401546.0,181.0,852.0,2534.0,1.0,2.0,11672.0,162.0,1.4,2013
Республика Дагестан,31.8,67.4,7.1,97.1,212.0,270706.0,187.0,689.0,3459.0,0.0,3.0,11939.0,166.0,1.4,2014
Республика Дагестан,34.1,67.1,6.7,96.3,200.0,237432.0,158.0,519.0,4280.0,3.0,6.0,11066.0,140.0,1.3,2015
Республика Дагестан,66.9,45.3,7.0,94.6,210.0,,,,,,,11452.0,146.0,1.3,2016
Республика Дагестан,55.7,92.7,7.2,94.6,218.0,,,,,,,12284.0,149.0,1.2,2017
Республика Дагестан,61.6,74.7,8.0,95.5,247.0,,,,,,,12710.0,160.0,1.3,2018
Республика Дагестан,65.4,72.5,8.7,85.3,270.0,505272.0,261.0,713.0,16172.0,14.0,26.0,12856.0,163.0,1.3,2019
Республика Ингушетия,28.7,83.0,13.7,91.7,59.0,93249.0,56.0,89.0,151.0,0.0,0.0,1615.0,15.0,0.9,2012
Республика Ингушетия,29.4,86.3,13.1,81.3,58.0,91557.0,64.0,82.0,295.0,0.0,0.0,1708.0,16.0,0.9,2013
Республика Ингушетия,34.5,87.2,13.8,100.0,64.0,95977.0,64.0,81.0,758.0,4.0,4.0,1848.0,21.0,1.1,2014
Республика Ингушетия,44.6,79.6,12.3,100.0,57.0,106991.0,56.0,66.0,1564.0,1.0,1.0,1864.0,20.0,1.1,2015
Республика Ингушетия,95.9,45.7,12.3,85.7,58.0,,,,,,,1967.0,23.0,1.2,2016
Республика Ингушетия,51.3,95.2,13.3,85.7,64.0,,,,,,,2233.0,28.0,1.3,2017
Республика Ингушетия,57.7,92.0,8.1,100.0,40.0,,,,,,,2260.0,25.0,1.1,2018
Республика Ингушетия,75.6,92.4,9.9,62.5,49.0,126021.0,59.0,155.0,2629.0,2.0,6.0,2250.0,25.0,1.1,2019
Республика Калмыкия,67.1,67.4,5.9,60.0,17.0,47115.0,14.0,14.0,756.0,1.0,1.0,1476.0,18.0,1.2,2012
Республика Калмыкия,69.7,66.3,3.2,100.0,9.0,50390.0,14.0,14.0,703.0,0.0,0.0,1510.0,20.0,1.3,2013
Республика Калмыкия,25.7,82.7,6.8,100.0,19.0,39175.0,10.0,10.0,1114.0,9.0,9.0,1519.0,17.0,1.1,2014
Республика Калмыкия,26.3,80.1,11.0,80.0,31.0,44661.0,25.0,25.0,1603.0,1.0,1.0,1485.0,19.0,1.3,2015
Республика Калмыкия,88.5,69.3,9.0,85.7,25.0,,,,,,,1444.0,18.0,1.2,2016
Республика Калмыкия,48.0,91.8,5.4,100.0,15.0,,,,,,,1478.0,20.0,1.4,2017
Республика Калмыкия,59.7,91.8,8.4,83.3,23.0,,,,,,,1411.0,16.0,1.1,2018
Республика Калмыкия,73.8,92.3,8.4,100.0,23.0,68236.0,23.0,23.0,2116.0,0.0,0.0,1362.0,13.0,1.0,2019
Республика Карелия,26.4,85.2,19.9,89.5,127.0,89434.0,162.0,215.0,2935.0,6.0,10.0,3290.0,35.0,1.1,2012
Республика Карелия,32.6,45.6,25.1,82.1,160.0,89111.0,158.0,228.0,3579.0,2.0,3.0,3291.0,37.0,1.1,2013
Республика Карелия,35.6,50.1,28.9,88.6,183.0,88825.0,164.0,238.0,4994.0,19.0,26.0,3210.0,35.0,1.1,2014
Республика Карелия,45.2,65.3,31.5,90.3,199.0,87534.0,193.0,264.0,4111.0,7.0,10.0,3050.0,35.0,1.1,2015
Республика Карелия,69.4,44.2,24.1,90.6,152.0,,,,,,,3135.0,31.0,1.0,2016
Республика Карелия,45.5,91.7,37.3,90.0,234.0,,,,,,,3210.0,33.0,1.0,2017
Республика Карелия,57.3,59.5,53.0,87.2,329.0,,,,,,,3170.0,36.0,1.1,2018
Республика Карелия,67.2,58.4,55.5,86.2,343.0,186175.0,243.0,340.0,3081.0,1.0,3.0,3177.0,34.0,1.1,2019
Республика Коми,28.8,44.5,23.8,91.7,212.0,189167.0,239.0,759.0,6473.0,7.0,19.0,4263.0,40.0,0.9,2012
Республика Коми,31.5,52.1,23.8,91.2,210.0,188973.0,254.0,827.0,5562.0,6.0,12.0,4245.0,33.0,0.8,2013
Республика Коми,34.2,56.9,42.6,84.1,368.0,171365.0,425.0,806.0,7081.0,4.0,15.0,4209.0,31.0,0.7,2014
Республика Коми,32.3,59.7,58.0,80.4,501.0,174393.0,567.0,1133.0,5333.0,6.0,24.0,4144.0,34.0,0.8,2015
Республика Коми,72.5,32.5,43.4,92.3,372.0,,,,,,,4272.0,37.0,0.9,2016
Республика Коми,39.6,89.6,47.9,83.3,407.0,,,,,,,4324.0,35.0,0.8,2017
Республика Коми,69.6,68.6,55.2,73.1,461.0,,,,,,,4310.0,31.0,0.7,2018
Республика Коми,81.2,71.1,41.1,94.3,341.0,214664.0,446.0,1258.0,4796.0,3.0,14.0,4221.0,30.0,0.7,2019
Республика Крым,,,,,,,,,,,,,,,2012
Республика Крым,,,,,,,,,,,,,,,2013
Республика Крым,49.9,43.8,77.9,88.6,1476.0,,,,,,,8000.0,105.0,1.3,2014
Республика Крым,47.7,39.7,46.2,88.1,875.0,211995.0,337.0,2676.0,30979.0,39.0,272.0,8166.0,106.0,1.3,2015
Республика Крым,41.8,43.5,53.3,82.4,1017.0,,,,,,,8447.0,114.0,1.3,2016
Республика Крым,52.1,96.9,55.2,83.1,1055.0,,,,,,,8444.0,107.0,1.3,2017
Республика Крым,58.1,79.5,51.5,79.0,986.0,,,,,,,8741.0,111.0,1.3,2018
Республика Крым,71.7,66.2,58.2,79.8,1113.0,523269.0,1546.0,2660.0,21887.0,73.0,77.0,8479.0,103.0,1.2,2019
Республика Марий Эл,38.8,79.1,18.6,86.7,129.0,108766.0,176.0,223.0,1168.0,2.0,2.0,2397.0,35.0,1.5,2012
Республика Марий Эл,48.7,71.8,18.3,91.3,126.0,106186.0,248.0,293.0,980.0,0.0,0.0,2412.0,35.0,1.5,2013
Республика Марий Эл,57.5,64.3,19.9,97.2,137.0,110211.0,214.0,320.0,1838.0,15.0,16.0,2395.0,37.0,1.5,2014
Республика Марий Эл,59.5,61.9,20.9,90.9,144.0,74271.0,313.0,553.0,1646.0,4.0,4.0,2384.0,39.0,1.6,2015
Республика Марий Эл,63.2,62.9,26.2,82.1,180.0,,,,,,,2437.0,38.0,1.6,2016
Республика Марий Эл,64.5,89.8,42.2,93.3,289.0,,,,,,,2483.0,38.0,1.5,2017
Республика Марий Эл,65.5,92.0,42.0,89.2,286.0,,,,,,,2461.0,33.0,1.3,2018
Республика Марий Эл,74.2,98.7,38.8,95.2,264.0,167794.0,341.0,942.0,1222.0,1.0,1.0,2459.0,35.0,1.4,2019
Республика Мордовия,27.9,43.9,16.2,94.4,134.0,118241.0,122.0,584.0,3318.0,6.0,14.0,4303.0,52.0,1.2,2012
Республика Мордовия,31.4,43.6,17.7,96.3,145.0,129877.0,143.0,623.0,2868.0,2.0,10.0,4348.0,53.0,1.2,2013
Республика Мордовия,34.8,45.0,24.0,86.4,194.0,133942.0,185.0,1084.0,5437.0,9.0,48.0,4364.0,48.0,1.1,2014
Республика Мордовия,40.0,45.0,29.9,92.9,242.0,138558.0,235.0,850.0,6853.0,7.0,33.0,4340.0,53.0,1.2,2015
Республика Мордовия,45.4,42.6,25.8,96.2,208.0,,,,,,,4330.0,51.0,1.2,2016
Республика Мордовия,49.2,94.6,32.0,86.4,259.0,,,,,,,4290.0,50.0,1.2,2017
Республика Мордовия,64.7,45.2,24.4,97.1,195.0,,,,,,,4258.0,55.0,1.3,2018
Республика Мордовия,73.1,80.5,21.6,96.2,172.0,222598.0,200.0,1335.0,3583.0,2.0,10.0,4222.0,46.0,1.1,2019
Республика Саха (Якутия),38.1,81.9,10.1,90.9,97.0,187454.0,87.0,269.0,13471.0,10.0,25.0,5343.0,66.0,1.2,2012
Республика Саха (Якутия),40.8,85.4,12.7,94.4,121.0,201155.0,109.0,225.0,13816.0,13.0,18.0,5371.0,62.0,1.2,2013
Республика Саха (Якутия),41.9,83.1,12.3,85.7,118.0,202160.0,96.0,236.0,14792.0,22.0,34.0,5447.0,57.0,1.0,2014
Республика Саха (Якутия),41.9,79.8,14.5,94.4,139.0,208437.0,115.0,256.0,13569.0,23.0,30.0,5295.0,58.0,1.1,2015
Республика Саха (Якутия),75.8,40.3,15.1,84.6,145.0,,,,,,,5396.0,59.0,1.1,2016
Республика Саха (Якутия),44.4,90.1,12.3,94.4,118.0,,,,,,,5831.0,59.0,1.0,2017
Республика Саха (Якутия),58.5,83.7,9.8,100.0,95.0,,,,,,,5899.0,62.0,1.1,2018
Республика Саха (Якутия),82.9,82.7,11.7,87.5,113.0,262506.0,163.0,389.0,9381.0,14.0,14.0,5987.0,63.0,1.1,2019
Республика Северная Осетия-Алания,90.1,55.9,14.1,84.6,100.0,67315.0,96.0,96.0,1490.0,1.0,1.0,5012.0,84.0,1.7,2012
Республика Северная Осетия-Алания,92.8,53.8,17.3,100.0,122.0,80741.0,116.0,116.0,1719.0,0.0,0.0,5050.0,81.0,1.6,2013
Республика Северная Осетия-Алания,89.4,53.9,16.2,100.0,114.0,87132.0,118.0,118.0,3084.0,6.0,6.0,4961.0,62.0,1.2,2014
Республика Северная Осетия-Алания,87.0,55.7,20.8,81.0,147.0,100073.0,150.0,150.0,2458.0,7.0,7.0,4536.0,65.0,1.4,2015
Республика Северная Осетия-Алания,56.4,81.3,18.5,100.0,130.0,,,,,,,4684.0,64.0,1.4,2016
Республика Северная Осетия-Алания,85.3,82.3,25.5,100.0,179.0,,,,,,,4854.0,61.0,1.3,2017
Республика Северная Осетия-Алания,81.0,49.4,23.3,82.4,163.0,,,,,,,4702.0,85.0,1.8,2018
Республика Северная Осетия-Алания,90.6,91.1,23.3,100.0,163.0,200012.0,223.0,223.0,4067.0,3.0,3.0,4753.0,81.0,1.7,2019
Республика Татарстан (Татарстан),33.0,88.6,31.3,91.3,1191.0,1075679.0,1380.0,3510.0,20788.0,15.0,51.0,16029.0,207.0,1.3,2012
Республика Татарстан (Татарстан),45.7,88.9,31.2,92.7,1194.0,1156306.0,1384.0,3718.0,17313.0,16.0,34.0,15903.0,197.0,1.2,2013
Республика Татарстан (Татарстан),43.7,89.5,31.9,93.6,1231.0,1181313.0,1399.0,3718.0,20055.0,32.0,57.0,16228.0,158.0,1.0,2014
Республика Татарстан (Татарстан),57.1,89.2,34.1,96.7,1315.0,1182134.0,1451.0,4237.0,38193.0,32.0,75.0,15705.0,158.0,1.0,2015
Республика Татарстан (Татарстан),90.1,56.6,35.1,98.5,1359.0,,,,,,,15631.0,151.0,1.0,2016
Республика Татарстан (Татарстан),58.0,91.5,32.7,99.6,1269.0,,,,,,,16153.0,147.0,0.9,2017
Республика Татарстан (Татарстан),66.0,88.1,30.0,98.1,1167.0,,,,,,,16466.0,153.0,0.9,2018
Республика Татарстан (Татарстан),75.3,89.4,27.8,100.0,1085.0,1142618.0,1339.0,3224.0,40799.0,29.0,59.0,16718.0,153.0,0.9,2019
Республика Тыва,23.2,87.5,4.5,100.0,14.0,61658.0,15.0,46.0,388.0,0.0,1.0,1459.0,33.0,2.3,2012
Республика Тыва,18.0,78.2,4.2,100.0,13.0,66739.0,14.0,116.0,452.0,0.0,1.0,1490.0,30.0,2.0,2013
Республика Тыва,17.9,95.5,6.1,100.0,19.0,63700.0,19.0,116.0,439.0,1.0,1.0,1471.0,32.0,2.2,2014
Республика Тыва,26.0,91.4,6.7,75.0,21.0,67457.0,21.0,84.0,457.0,1.0,2.0,1544.0,31.0,2.0,2015
Республика Тыва,100.0,32.4,2.9,100.0,9.0,,,,,,,1598.0,29.0,1.8,2016
Республика Тыва,41.9,91.2,6.6,100.0,21.0,,,,,,,1701.0,28.0,1.6,2017
Республика Тыва,61.0,66.8,11.1,33.3,36.0,,,,,,,1669.0,29.0,1.7,2018
Республика Тыва,68.0,69.3,10.2,100.0,33.0,85586.0,33.0,81.0,859.0,0.0,0.0,1628.0,32.0,2.0,2019
Республика Хакасия,35.7,93.2,16.3,86.7,87.0,85439.0,86.0,104.0,1285.0,0.0,0.0,2058.0,34.0,1.7,2012
Республика Хакасия,40.8,85.7,18.8,95.8,100.0,84663.0,97.0,117.0,1656.0,3.0,3.0,2124.0,31.0,1.5,2013
Республика Хакасия,41.1,79.9,23.1,81.0,124.0,78840.0,123.0,164.0,1721.0,1.0,1.0,2145.0,30.0,1.4,2014
Республика Хакасия,39.9,66.5,67.4,86.8,361.0,80618.0,356.0,459.0,3273.0,1.0,5.0,2091.0,37.0,1.8,2015
Республика Хакасия,68.8,50.6,82.7,82.5,444.0,,,,,,,2229.0,35.0,1.6,2016
Республика Хакасия,59.6,75.2,58.2,82.4,313.0,,,,,,,2317.0,33.0,1.4,2017
Республика Хакасия,62.3,65.9,55.0,94.4,295.0,,,,,,,2255.0,34.0,1.5,2018
Республика Хакасия,68.3,84.5,56.3,86.8,302.0,141855.0,370.0,460.0,2337.0,3.0,3.0,2258.0,32.0,1.4,2019
Ростовская область,29.6,86.5,14.3,89.4,611.0,539161.0,870.0,2549.0,19514.0,37.0,67.0,17136.0,137.0,0.8,2012
Ростовская область,36.7,86.3,18.9,91.6,806.0,554638.0,922.0,2530.0,20843.0,26.0,48.0,16395.0,131.0,0.8,2013
Ростовская область,43.2,78.9,25.6,90.8,1086.0,558327.0,1186.0,3291.0,43074.0,127.0,230.0,16278.0,135.0,0.8,2014
Ростовская область,41.1,82.8,36.9,90.6,1564.0,594102.0,1783.0,4409.0,57974.0,144.0,290.0,15950.0,154.0,1.0,2015
Ростовская область,82.6,44.2,36.8,91.4,1557.0,,,,,,,15820.0,150.0,0.9,2016
Ростовская область,40.8,92.5,49.5,92.5,2094.0,,,,,,,15811.0,149.0,0.9,2017
Ростовская область,60.0,55.1,39.9,93.8,1679.0,,,,,,,15753.0,142.0,0.9,2018
Ростовская область,66.9,87.5,45.0,94.9,1889.0,1224741.0,2387.0,8080.0,38074.0,68.0,132.0,15587.0,153.0,1.0,2019
Рязанская область,33.6,69.5,27.2,90.2,312.0,169679.0,260.0,667.0,16226.0,22.0,20.0,5989.0,56.0,0.9,2012
Рязанская область,33.4,69.5,30.0,94.1,343.0,167277.0,327.0,660.0,17783.0,14.0,15.0,5882.0,55.0,0.9,2013
Рязанская область,34.8,68.5,34.0,87.5,386.0,159658.0,340.0,628.0,18841.0,47.0,51.0,5914.0,47.0,0.8,2014
Рязанская область,44.3,67.4,36.1,90.3,410.0,167136.0,354.0,690.0,27205.0,57.0,67.0,5408.0,43.0,0.8,2015
Рязанская область,68.6,44.7,23.8,90.4,269.0,,,,,,,5831.0,43.0,0.7,2016
Рязанская область,55.2,94.6,30.3,88.1,341.0,,,,,,,5683.0,44.0,0.8,2017
Рязанская область,61.2,66.2,30.8,92.5,344.0,,,,,,,5738.0,44.0,0.8,2018
Рязанская область,71.3,66.6,35.7,83.3,398.0,279358.0,382.0,763.0,10350.0,16.0,18.0,5837.0,42.0,0.7,2019
Самарская область,32.2,60.4,112.8,81.9,3626.0,525470.0,3955.0,15989.0,20830.0,48.0,114.0,15211.0,134.0,0.9,2012
Самарская область,36.9,62.1,115.4,79.3,3708.0,528972.0,4558.0,15340.0,27322.0,83.0,179.0,15326.0,133.0,0.9,2013
Самарская область,41.1,76.2,99.5,82.7,3196.0,578520.0,4157.0,15113.0,43526.0,89.0,229.0,14873.0,133.0,0.9,2014
Самарская область,47.1,77.7,104.3,83.2,3351.0,578524.0,4456.0,16306.0,68121.0,142.0,359.0,14562.0,130.0,0.9,2015
Самарская область,95.5,47.4,106.9,83.7,3427.0,,,,,,,14714.0,132.0,0.9,2016
Самарская область,56.2,91.2,104.1,86.4,3336.0,,,,,,,15309.0,137.0,0.9,2017
Самарская область,64.5,103.2,99.3,87.8,3167.0,,,,,,,15199.0,130.0,0.9,2018
Самарская область,76.1,100.0,96.7,90.5,3079.0,795760.0,2907.0,19446.0,49457.0,69.0,278.0,15507.0,138.0,0.9,2019
Саратовская область,36.7,72.8,43.2,88.3,1084.0,302521.0,1062.0,4699.0,14046.0,22.0,82.0,13205.0,126.0,1.0,2012
Саратовская область,39.5,79.3,45.5,85.1,1138.0,321598.0,1126.0,6054.0,13108.0,12.0,79.0,13356.0,109.0,0.8,2013
Саратовская область,41.9,78.3,54.5,88.2,1359.0,344701.0,1319.0,7660.0,19582.0,40.0,228.0,13266.0,103.0,0.8,2014
Саратовская область,45.3,79.6,58.3,88.2,1454.0,360749.0,1420.0,6346.0,20265.0,34.0,138.0,12099.0,99.0,0.8,2015
Саратовская область,79.4,45.7,49.6,85.0,1234.0,,,,,,,11894.0,116.0,1.0,2016
Саратовская область,52.4,86.7,48.4,89.8,1200.0,,,,,,,12402.0,110.0,0.9,2017
Саратовская область,60.1,80.9,46.9,84.8,1150.0,,,,,,,12332.0,107.0,0.9,2018
Саратовская область,73.3,75.5,47.9,91.9,1168.0,626943.0,1303.0,6740.0,17564.0,28.0,67.0,12307.0,109.0,0.9,2019
Сахалинская область,30.5,88.3,16.8,100.0,83.0,115198.0,76.0,433.0,11477.0,7.0,18.0,2526.0,36.0,1.4,2012
Сахалинская область,33.9,91.1,14.8,100.0,73.0,118183.0,65.0,304.0,9382.0,8.0,22.0,2569.0,36.0,1.4,2013
Сахалинская область,39.0,88.5,27.0,85.7,132.0,121614.0,123.0,449.0,10254.0,10.0,14.0,2402.0,34.0,1.4,2014
Сахалинская область,47.0,78.9,46.3,85.7,226.0,125266.0,206.0,654.0,15344.0,22.0,47.0,2636.0,38.0,1.4,2015
Сахалинская область,82.2,49.5,45.1,75.0,220.0,,,,,,,2729.0,38.0,1.4,2016
Сахалинская область,54.1,89.7,51.7,83.3,252.0,,,,,,,2864.0,36.0,1.3,2017
Сахалинская область,64.1,89.2,46.9,86.7,230.0,,,,,,,2843.0,35.0,1.2,2018
Сахалинская область,73.5,87.5,45.7,82.1,224.0,161396.0,217.0,742.0,15350.0,7.0,11.0,3104.0,39.0,1.3,2019
Свердловская область,30.4,76.8,136.1,87.3,5862.0,737863.0,5981.0,20955.0,44674.0,46.0,286.0,18426.0,231.0,1.3,2012
Свердловская область,36.2,72.7,150.8,84.6,6509.0,854474.0,6643.0,23972.0,45475.0,40.0,330.0,19209.0,246.0,1.3,2013
Свердловская область,44.4,72.1,169.3,84.2,7326.0,866322.0,7367.0,27928.0,48974.0,89.0,347.0,18957.0,223.0,1.2,2014
Свердловская область,44.9,71.0,169.9,85.7,7352.0,850607.0,7141.0,26749.0,72638.0,105.0,444.0,18374.0,210.0,1.1,2015
Свердловская область,74.4,50.6,145.3,84.0,6293.0,,,,,,,18556.0,227.0,1.2,2016
Свердловская область,49.1,95.6,143.6,89.0,6216.0,,,,,,,18178.0,223.0,1.2,2017
Свердловская область,58.4,78.1,132.0,88.8,5705.0,,,,,,,18658.0,210.0,1.1,2018
Свердловская область,64.4,96.4,121.3,90.7,5235.0,1037142.0,5349.0,23430.0,59077.0,45.0,141.0,18832.0,225.0,1.2,2019
Северо-Западный федеральный округ,29.9,62.4,49.7,82.0,6788.0,2041811.0,10205.0,25704.0,299224.0,537.0,791.0,78241.0,888.0,1.1,2012
Северо-Западный федеральный округ,34.2,62.9,51.2,83.1,7021.0,2051931.0,10646.0,26444.0,373382.0,737.0,1043.0,79522.0,903.0,1.1,2013
Северо-Западный федеральный округ,39.4,66.7,51.8,85.8,7168.0,2204863.0,11508.0,31438.0,476907.0,986.0,1476.0,79655.0,717.0,0.9,2014
Северо-Западный федеральный округ,43.1,69.1,52.5,86.8,7268.0,2280382.0,11059.0,27292.0,365909.0,602.0,990.0,75451.0,739.0,1.0,2015
Северо-Западный федеральный округ,70.9,45.9,42.2,88.0,5847.0,,,,,,,78358.0,753.0,1.0,2016
Северо-Западный федеральный округ,51.3,91.1,40.4,89.1,5616.0,,,,,,,81121.0,814.0,1.0,2017
Северо-Западный федеральный округ,64.7,71.9,46.8,88.9,6535.0,,,,,,,82051.0,802.0,1.0,2018
Северо-Западный федеральный округ,70.6,74.6,43.8,91.4,6123.0,3615427.0,10923.0,28933.0,400727.0,318.0,501.0,83664.0,833.0,1.0,2019
Северо-Кавказский федеральный округ,34.8,60.8,9.9,90.3,938.0,1269881.0,991.0,1845.0,19298.0,16.0,23.0,39753.0,436.0,1.1,2012
Северо-Кавказский федеральный округ,42.0,60.3,9.9,90.2,940.0,1434008.0,1072.0,1930.0,22305.0,22.0,26.0,39503.0,445.0,1.1,2013
Северо-Кавказский федеральный округ,45.3,59.8,11.9,95.4,1148.0,1288378.0,1200.0,1972.0,34440.0,79.0,85.0,40226.0,435.0,1.1,2014
Северо-Кавказский федеральный округ,51.9,60.2,15.7,90.5,1521.0,1319251.0,1547.0,2225.0,41408.0,77.0,90.0,38387.0,411.0,1.1,2015
Северо-Кавказский федеральный округ,62.3,52.2,17.7,86.1,1716.0,,,,,,,39793.0,422.0,1.1,2016
Северо-Кавказский федеральный округ,57.3,90.9,16.0,91.6,1566.0,,,,,,,41307.0,434.0,1.1,2017
Северо-Кавказский федеральный округ,65.3,63.9,17.8,86.4,1754.0,,,,,,,42092.0,507.0,1.2,2018
Северо-Кавказский федеральный округ,74.6,79.0,16.8,89.5,1660.0,2396166.0,2210.0,3426.0,53269.0,39.0,61.0,42617.0,513.0,1.2,2019
Сибирский федеральный округ,20.4,67.6,93.4,81.8,17984.0,3657007.0,20396.0,49955.0,137148.0,158.0,496.0,98504.0,1132.0,1.1,2012
Сибирский федеральный округ,24.8,64.9,117.4,82.6,22633.0,3775496.0,24556.0,57687.0,137865.0,165.0,538.0,97206.0,1091.0,1.1,2013
